COD;CODMUN7;Estado;ano;Nome;CV_SCR1 (1 ano);CV_SCR2 (15 meses);Poprural;PopUrb;RDPC;PEA;PEA_A;IDHM;IDHM_E;IDHM_L;IDHM_R;T_ANALF18M;T_MED18M;T_SUPER25M;T_AGUA;T_BANAGUA;T_DENS;T_LIXO;T_LUZ;AGUA_ESGOTO;POPDOMCHEFMULHERES;DENSDEMOG2010;PERC_NV_7CPN;CoberturaAB
130020;1300201;amazonas;2016;Atalaia do Norte;68,32;79,43;54,51;45,49;159,21;5628;37,14;0,45;0,259;0,733;0,481;37,39;12,38;2,74;36,29;17,52;69,88;50,61;60,84;44,58;21,54;0,2;41,32;95,13
130030;1300300;amazonas;2016;Autazes;50,37;56,22;56,77;43,23;228,43;11997;37,33;0,577;0,446;0,799;0,539;17,11;17,62;3,9;57,01;24,55;67,07;90,34;81,35;54,16;33,7;4,23;38,99;100
130040;1300409;amazonas;2016;Barcelos;64;59,16;56,62;43,38;237,29;7366;28,64;0,5;0,315;0,728;0,545;35,24;14,03;3,41;49,81;37,94;72,88;92,93;75,46;14,04;24,12;0,21;25,81;50,3
130050;1300508;amazonas;2016;Barreirinha;71,46;68,24;54,6;45,4;148,28;9789;35,79;0,574;0,522;0,774;0,469;11,43;21,34;3,31;55,14;35,69;74,59;67,93;78,85;47,48;38,65;4,76;31,85;67,52
130060;1300607;amazonas;2016;Benjamin Constant;64,31;37,51;39,73;60,27;211,1;12587;37,67;0,574;0,471;0,763;0,526;24,12;22,62;3,76;53,48;22,34;71,69;76,16;86,36;43,94;31,89;3,8;49,46;78,64
130063;1300631;amazonas;2016;Beruri;77,37;62,96;49,77;50,23;193,4;5185;33,48;0,506;0,346;0,731;0,512;27,95;14,36;2,32;54,61;21,95;74,68;76,23;83,61;31,46;33,43;0,9;22,94;75,95
130068;1300680;amazonas;2016;Boa Vista do Ramos;97,8;99,18;49,6;50,4;175,55;5349;35,71;0,565;0,484;0,75;0,496;8,61;18,81;3,24;58,8;36,65;75,22;88,32;77,04;48,58;47,35;5,79;36,86;100
130070;1300706;amazonas;2016;Boca do Acre;62,13;63,45;36,84;63,16;288,42;10947;35,74;0,588;0,455;0,777;0,576;29,56;20,43;6,27;67,42;28,18;51,55;74,81;83,51;36,89;34,72;1,4;61,1;73,71
130080;1300805;amazonas;2016;Borba;111,28;98,47;58,71;41,29;219,83;13479;38,55;0,56;0,425;0,776;0,532;17,29;19,09;3,08;54,65;30,97;74,85;95,38;81,19;46,19;31,59;0,79;67,12;79,02
130083;1300839;amazonas;2016;Caapiranga;76,47;53,53;53,17;46,83;235,49;3615;32,94;0,569;0,436;0,775;0,544;16,27;22,86;4,19;29,69;43,17;65,16;83,59;91,4;32,74;25,25;1,16;38,25;100
130090;1300904;amazonas;2016;Canutama;99,07;114,49;47,54;52,46;206,44;4967;38,99;0,53;0,379;0,752;0,522;31,5;16,31;2,77;73,71;53,11;51,74;72,04;79,38;33,58;23,99;0,43;45,16;100
130100;1301001;amazonas;2016;Carauari;52,42;43,55;23,4;76,6;222,32;9730;37,75;0,549;0,416;0,745;0,534;31,44;18,68;5,04;64,62;31,13;59,13;91,3;92,57;38,15;33,54;1;38,08;49,5
130110;1301100;amazonas;2016;Careiro;83,17;86,1;71,17;28,83;197,06;9175;28,03;0,557;0,431;0,779;0,515;14,86;16,35;2,55;56,5;32,3;68,87;98,47;88,45;53,81;27,91;5,37;35,97;94,69
130115;1301159;amazonas;2016;Careiro da V rzea;91,04;91,04;95,82;4,18;207,18;8480;35,44;0,568;0,45;0,779;0,523;17,94;19,63;3,17;14,95;16,07;49,87;88,71;88,19;72,6;26,25;9,09;38,19;97,03
130120;1301209;amazonas;2016;Coari;74,04;65,85;34,64;65,36;347,2;29216;38,46;0,586;0,425;0,78;0,606;18,67;22,3;5,17;32,29;51,77;65,54;85,17;88,37;28,24;36,32;1,31;42,35;100
